transaction_id,vendor_id,transaction_date,amount,payment_status,flagged_anomaly
T000001,V0229,2026-06-23,5397.42,Paid,0
T000002,V0351,2026-06-26,844.63,Paid,0
T000003,V0422,2025-09-12,4145.52,Paid,0
T000004,V0190,2025-08-09,12714.11,Paid,0
T000005,V0336,2026-03-23,5835.12,Pending,1
T000006,V0266,2025-11-23,165.09,Paid,0
T000007,V0315,2025-09-24,9440.83,Disputed,0
T000008,V0045,2025-11-18,13882.48,Paid,0
T000009,V0266,2025-07-07,9053.94,Paid,0
T000010,V0425,2026-04-12,22673.92,Paid,0
T000011,V0311,2025-10-07,14437.91,Paid,1
T000012,V0287,2025-08-06,4971.77,Paid,0
T000013,V0132,2026-04-01,28830.84,Disputed,0
T000014,V0289,2026-03-04,71216.63,Paid,0
T000015,V0236,2026-04-26,26329.53,Paid,0
T000016,V0404,2025-10-20,8533.6,Disputed,0
T000017,V0265,2026-03-31,2523.44,Paid,0
T000018,V0039,2026-04-09,35574.72,Pending,0
T000019,V0138,2025-10-01,35071.52,Paid,0
T000020,V0447,2025-11-12,2031.73,Paid,0
T000021,V0080,2025-08-23,236877.06,Disputed,1
T000022,V0435,2026-03-03,3127.9,Pending,0
T000023,V0295,2025-11-17,1193.8,Paid,0
T000024,V0114,2026-04-21,747.99,Pending,0
T000025,V0017,2026-03-14,355.2,Paid,0
T000026,V0062,2026-06-22,26312.03,Paid,1
T000027,V0052,2025-12-13,443.23,Paid,0
T000028,V0138,2026-02-26,26276.85,Paid,0
T000029,V0215,2026-06-23,12758.95,Paid,0
T000030,V0293,2025-09-05,73341.79,Paid,0
T000031,V0439,2026-01-11,62158.25,Paid,1
T000032,V0458,2026-05-18,5688.33,Paid,0
T000033,V0288,2026-04-16,1753.5,Paid,0
T000034,V0050,2026-02-15,10868.27,Paid,0
T000035,V0415,2025-11-08,2600.96,Paid,0
T000036,V0311,2025-10-09,8326.32,Disputed,0
T000037,V0146,2025-12-28,2083.7,Paid,0
T000038,V0041,2026-01-11,8176.96,Pending,0
T000039,V0328,2025-12-19,3027.99,Pending,0
T000040,V0041,2025-09-20,2843.91,Paid,0
T000041,V0310,2026-05-26,525.47,Pending,0
T000042,V0383,2026-04-26,5385.52,Pending,0
T000043,V0065,2025-10-28,8299.69,Paid,0
T000044,V0033,2026-02-27,5538.48,Paid,0
T000045,V0043,2025-08-22,2501.39,Pending,0
T000046,V0159,2025-10-25,2105.83,Paid,0
T000047,V0430,2025-09-25,17723.07,Disputed,0
T000048,V0277,2025-11-16,5624.05,Paid,0
T000049,V0303,2026-05-01,3243.23,Paid,0
T000050,V0328,2026-05-23,11978.91,Paid,0
T000051,V0046,2026-02-11,2241.61,Paid,0
T000052,V0268,2025-09-07,13983.65,Pending,1
T000053,V0245,2025-11-30,620.24,Paid,0
T000054,V0004,2026-04-06,2933.99,Paid,0
T000055,V0084,2026-05-26,3209.73,Paid,0
T000056,V0123,2026-03-21,51146.59,Paid,0
T000057,V0415,2025-11-14,1178.87,Paid,0
T000058,V0327,2026-02-18,7247.93,Paid,0
T000059,V0010,2025-09-15,480.09,Paid,0
T000060,V0138,2025-09-02,32661.29,Paid,0
T000061,V0253,2025-10-19,2831.25,Disputed,0
T000062,V0238,2026-06-21,13975.4,Disputed,0
T000063,V0029,2025-11-13,10026.02,Paid,0
T000064,V0431,2025-11-05,352.32,Paid,0
T000065,V0018,2025-10-09,3259.22,Disputed,0
T000066,V0243,2026-01-15,9260.35,Paid,0
T000067,V0022,2026-04-07,5256.97,Paid,0
T000068,V0455,2025-07-26,15011.79,Paid,0
T000069,V0167,2025-07-07,1630.07,Paid,0
T000070,V0005,2025-07-21,9225.02,Paid,0
T000071,V0395,2025-08-14,1470.25,Paid,0
T000072,V0497,2026-05-16,953.83,Paid,0
T000073,V0055,2025-09-02,4709.17,Paid,0
T000074,V0178,2026-02-09,1693.94,Paid,0
T000075,V0362,2026-02-09,6701.06,Paid,0
T000076,V0279,2025-12-25,2215.89,Paid,0
T000077,V0441,2026-04-09,862.74,Paid,0
T000078,V0278,2026-01-03,3004.34,Paid,0
T000079,V0453,2025-07-09,7724.94,Paid,0
T000080,V0033,2026-06-02,468.08,Paid,0
T000081,V0145,2025-12-12,3570.57,Paid,0
T000082,V0023,2025-09-04,1529.27,Paid,0
T000083,V0199,2026-06-01,4608.01,Paid,0
T000084,V0114,2026-05-06,3974.07,Paid,0
T000085,V0456,2026-01-28,6388.97,Paid,0
T000086,V0111,2026-03-22,5398.17,Paid,0
T000087,V0321,2025-09-29,6751.79,Paid,0
T000088,V0296,2025-12-30,20109.14,Paid,0
T000089,V0406,2025-09-30,6262.17,Paid,0
T000090,V0308,2026-02-11,20118.8,Paid,0
T000091,V0166,2026-05-07,1248.26,Paid,0
T000092,V0382,2025-11-07,2659.79,Paid,0
T000093,V0018,2025-11-22,7917.15,Paid,0
T000094,V0154,2025-10-21,1808.5,Pending,0
T000095,V0422,2025-11-18,38546.7,Paid,0
T000096,V0049,2025-07-19,4390.56,Pending,0
T000097,V0128,2025-10-27,2128.77,Paid,0
T000098,V0112,2025-08-08,65704.06,Paid,0
T000099,V0354,2026-06-24,35692.38,Paid,0
T000100,V0375,2026-04-21,1347.66,Paid,0
T000101,V0451,2026-02-07,1078.21,Paid,0
T000102,V0335,2026-05-04,6875.11,Paid,0
T000103,V0290,2025-09-14,1241.26,Paid,0
T000104,V0202,2026-02-13,20531.08,Paid,0
T000105,V0403,2026-01-17,1375.42,Paid,0
T000106,V0281,2026-01-20,1904.3,Paid,0
T000107,V0391,2025-09-07,4641.82,Paid,0
T000108,V0288,2026-05-11,2114.4,Paid,0
T000109,V0295,2025-08-14,1005.33,Paid,0
T000110,V0177,2026-04-30,24849.61,Paid,0
T000111,V0421,2026-02-11,8339.38,Paid,0
T000112,V0351,2026-01-07,234.39,Paid,0
T000113,V0125,2026-05-13,8297.62,Paid,0
T000114,V0108,2026-04-01,1068.86,Paid,0
T000115,V0319,2025-09-10,20176.69,Pending,0
T000116,V0270,2025-07-22,2630.97,Paid,0
T000117,V0139,2025-07-27,1058.9,Paid,0
T000118,V0340,2026-06-02,3373.42,Pending,0
T000119,V0198,2025-10-26,51262.96,Pending,0
T000120,V0249,2026-05-01,5394.68,Paid,0
T000121,V0475,2026-06-29,5464.4,Paid,0
T000122,V0178,2026-06-15,1902.59,Disputed,0
T000123,V0257,2025-11-18,36380.58,Pending,0
T000124,V0418,2025-07-15,1805.67,Paid,0
T000125,V0374,2026-01-11,5736.06,Paid,0
T000126,V0214,2025-10-31,6669.3,Paid,0
T000127,V0230,2026-04-03,385.75,Paid,0
T000128,V0104,2025-09-08,1037.16,Paid,0
T000129,V0466,2025-09-12,11640.95,Paid,0
T000130,V0273,2025-08-29,24100.66,Paid,0
T000131,V0327,2025-11-17,1755.73,Paid,0
T000132,V0314,2026-05-11,1348.46,Paid,0
T000133,V0352,2025-07-13,1662.57,Paid,0
T000134,V0310,2026-02-25,11085.45,Paid,0
T000135,V0071,2025-09-21,1916.58,Disputed,0
T000136,V0388,2025-10-12,4742.03,Paid,0
T000137,V0208,2025-07-21,21495.37,Paid,0
T000138,V0481,2026-04-18,7899.38,Paid,0
T000139,V0267,2025-08-24,2510.31,Disputed,0
T000140,V0266,2026-04-01,1907.02,Paid,0
T000141,V0323,2025-07-25,1300.99,Paid,0
T000142,V0147,2026-02-21,1579.32,Paid,0
T000143,V0463,2025-09-10,3838.47,Paid,0
T000144,V0093,2026-04-25,1103.69,Paid,0
T000145,V0303,2026-06-29,1145.73,Paid,0
T000146,V0084,2025-09-01,6988.62,Paid,0
T000147,V0500,2026-03-18,6770.98,Paid,0
T000148,V0088,2025-12-18,7800.87,Pending,0
T000149,V0092,2026-06-29,1035.44,Disputed,0
T000150,V0148,2026-05-16,4859.23,Paid,0
T000151,V0253,2025-10-29,667.22,Paid,0
T000152,V0308,2026-05-03,1170.26,Paid,0
T000153,V0095,2025-09-13,951.89,Paid,0
T000154,V0296,2026-05-04,766.87,Paid,0
T000155,V0313,2026-06-03,15300.35,Paid,0
T000156,V0234,2026-04-22,3469.37,Paid,0
T000157,V0460,2026-01-10,118693.08,Paid,0
T000158,V0242,2025-09-06,2441.32,Paid,0
T000159,V0030,2025-08-24,5303.93,Paid,0
T000160,V0404,2026-06-26,1330.49,Paid,0
T000161,V0320,2025-12-28,70227.79,Paid,0
T000162,V0255,2026-03-09,1988.72,Paid,0
T000163,V0239,2026-05-16,74207.61,Paid,0
T000164,V0213,2026-01-27,917.36,Paid,0
T000165,V0328,2025-10-11,9064.31,Paid,0
T000166,V0282,2025-12-12,10134.79,Paid,0
T000167,V0292,2026-05-11,34442.85,Paid,0
T000168,V0070,2026-03-03,1059.46,Pending,0
T000169,V0237,2026-01-27,5521.11,Paid,0
T000170,V0010,2025-10-14,6490.92,Paid,0
T000171,V0034,2025-09-14,33418.42,Paid,0
T000172,V0443,2025-12-04,10088.75,Paid,0
T000173,V0255,2025-10-29,805.55,Paid,0
T000174,V0090,2025-08-26,3590.92,Paid,0
T000175,V0260,2025-07-12,1395.44,Pending,0
T000176,V0159,2025-12-14,8017.47,Paid,0
T000177,V0366,2026-03-24,1288.08,Paid,0
T000178,V0447,2025-08-13,132.53,Paid,0
T000179,V0382,2025-12-06,7495.43,Paid,0
T000180,V0273,2025-12-10,36030.79,Paid,0
T000181,V0059,2025-07-07,59843.78,Paid,0
T000182,V0282,2025-12-10,27289.76,Paid,0
T000183,V0457,2025-12-20,31096.85,Paid,1
T000184,V0197,2025-07-27,958.43,Pending,0
T000185,V0323,2026-06-18,17119.3,Paid,0
T000186,V0366,2026-06-08,5881.04,Paid,0
T000187,V0050,2026-02-18,1365.55,Paid,0
T000188,V0486,2025-10-22,1972.63,Pending,0
T000189,V0170,2025-12-13,4377.78,Paid,0
T000190,V0237,2025-09-25,2202.07,Paid,0
T000191,V0208,2026-06-30,14147.11,Paid,0
T000192,V0273,2026-02-21,3274.37,Paid,0
T000193,V0499,2026-03-03,3218.76,Paid,0
T000194,V0402,2026-02-07,6281.72,Paid,0
T000195,V0343,2025-08-08,36153.85,Paid,0
T000196,V0306,2026-02-22,3087.81,Paid,0
T000197,V0208,2025-08-04,10408.68,Paid,0
T000198,V0168,2026-03-10,7122.67,Paid,0
T000199,V0298,2026-05-21,105170.57,Paid,0
T000200,V0150,2026-01-15,8120.02,Pending,0
T000201,V0154,2026-04-17,44629.87,Pending,0
T000202,V0368,2025-12-23,8492.56,Pending,0
T000203,V0032,2026-01-05,3293.93,Paid,0
T000204,V0208,2026-01-11,4034.6,Paid,0
T000205,V0285,2026-01-12,17836.31,Paid,0
T000206,V0447,2026-06-08,7452.79,Paid,0
T000207,V0500,2025-09-07,302.39,Paid,0
T000208,V0404,2026-06-21,7606.29,Paid,0
T000209,V0283,2026-02-15,3437.11,Paid,0
T000210,V0256,2025-10-29,9869.49,Paid,0
T000211,V0018,2025-07-19,8557.97,Paid,0
T000212,V0354,2025-08-09,200.52,Disputed,0
T000213,V0399,2025-11-20,4485.65,Paid,0
T000214,V0242,2026-05-18,309.1,Paid,0
T000215,V0028,2025-12-22,5351.1,Pending,0
T000216,V0294,2025-12-16,39.95,Paid,0
T000217,V0019,2026-06-20,17144.78,Paid,0
T000218,V0087,2026-04-19,35410.68,Paid,0
T000219,V0259,2025-08-08,15817.0,Paid,0
T000220,V0440,2025-11-08,724.63,Paid,0
T000221,V0414,2025-09-27,723.2,Paid,0
