vendor_id,vendor_name,category,country,annual_contract_value,is_critical_supplier,compliance_risk_score,geo_risk_score,total_spend,spend_share_pct,disputed_count,anomaly_count,financial_risk_score,audit_risk_score,composite_risk_score,risk_tier
V0175,Gibson LLC,Raw Materials,China,1341.76,0,95.0,40.0,88102.9,0.10143497667169674,0.0,0,0.8114798133735739,65.0,54.5,Critical
V0168,"Wright, Davis and Hayden",Manufacturing,Mexico,490664.66,1,100.0,35.0,133138.41,0.15328543682962534,0.0,1,11.226283494637002,20.0,48.8,Critical
V0326,Burgess-Kelly,Logistics,Germany,6464.84,0,75.0,10.0,182558.61000000002,0.21018409549024364,0.0,1,11.681472763921949,75.5,46.3,Critical
V0457,Turner-Brown,Facilities,Brazil,62601.71,0,73.0,30.0,278266.29000000004,0.3203746373237386,0.0,2,22.56299709858991,41.0,45.4,Critical
V0002,"Henderson, Johnson and Robinson",Manufacturing,India,75702.41,0,85.0,20.0,41613.92,0.04791110172784159,2.0,0,12.383288813822732,42.0,45.2,Critical
V0333,Johnson-Lucas,Facilities,Singapore,17887.46,0,100.0,15.0,60885.01,0.07009836871437858,1.0,0,6.560786949715029,20.0,43.6,High
V0477,"Henry, Jackson and Norton",Marketing,Germany,27536.11,0,100.0,10.0,72943.9,0.0839820572857713,2.0,0,12.67185645828617,10.0,42.2,High
V0370,Webb-Ballard,IT Services,China,7588.11,0,45.0,40.0,59814.14,0.06886545046232988,0.0,0,0.550923603698639,90.0,41.9,High
V0416,Khan-Thompson,Software Licensing,Singapore,20132.76,0,73.0,15.0,422498.32999999996,0.48643243579247486,1.0,2,29.891459486339798,24.0,40.8,High
V0001,"Hill, Walker and Doyle",Raw Materials,Singapore,118253.5,0,100.0,15.0,68050.35,0.07834799609037613,1.0,0,6.626783968723009,0.0,39.7,High
V0097,"Johnston, Higgins and Cruz",Facilities,Nigeria,53603.64,0,65.0,60.0,395654.43,0.4555264114700365,1.0,1,19.644211291760293,0.0,39.7,High
V0295,Aguilar and Sons,Marketing,France,39324.51,0,100.0,10.0,111050.29000000001,0.1278548558053726,1.0,0,7.022838846442981,0.0,38.8,High
V0205,"Payne, Jones and Landry",Professional Services,United States,32202.92,0,100.0,10.0,85135.12,0.09801810055221909,1.0,0,6.784144804417752,0.0,38.7,High
V0447,Good Group,IT Services,China,27431.03,0,70.0,40.0,258865.43,0.2980379630313956,2.0,1,24.384303704251167,0.0,38.6,High
V0330,"White, Taylor and Baldwin",Manufacturing,China,17691.48,0,45.0,40.0,299043.42,0.34429584419496306,0.0,1,12.754366753559705,55.0,37.9,High
V0242,Parks-Henry,Logistics,Nigeria,40042.18,0,73.0,60.0,13882.46,0.01598320834212907,0.0,0,0.12786566673703256,0.0,37.6,High
V0306,"Allen, Sheppard and Mueller",IT Services,Nigeria,6810.01,0,70.0,60.0,228441.08,0.26300968096007293,0.0,0,2.1040774476805835,2.0,37.4,High
V0151,Mendoza-Peterson,Marketing,United States,27263.17,0,65.0,10.0,164757.18,0.1896888832239863,3.0,1,29.51751106579189,26.0,37.3,High
V0311,Whitehead-Hernandez,Professional Services,Nigeria,92739.36,0,60.0,60.0,131571.57,0.15148149645027026,1.0,1,17.21185197160216,0.0,37.3,High
V0185,"Thomas, Lee and Greene",Software Licensing,China,23354.65,0,45.0,40.0,132481.2,0.1525287752325791,0.0,3,26.220230201860634,35.0,37.3,High
V0413,"Donovan, Johns and Woods",Marketing,United Kingdom,228267.74,0,100.0,10.0,81087.32,0.09335777156677488,0.0,0,0.7468621725341991,0.0,37.2,High
V0158,Baker Inc,Software Licensing,China,61104.18,0,65.0,40.0,571423.02,0.6578929944799832,1.0,1,21.263143955839865,4.0,36.9,High
V0100,Grant Inc,Professional Services,France,61338.06,0,60.0,10.0,158197.52,0.18213658972315644,1.0,0,7.457092717785251,55.0,35.9,High
V0315,"Santos, Moody and Taylor",Professional Services,Vietnam,20922.42,0,60.0,40.0,177224.87,0.20404323301610378,1.0,2,27.63234586412883,0.0,35.9,High
V0232,"Lewis, Fowler and Maddox",Professional Services,Mexico,67697.32,0,73.0,35.0,59982.7,0.06905951762320406,2.0,0,12.552476140985632,0.0,35.7,High
V0215,Anderson PLC,IT Services,UAE,90985.37,0,60.0,30.0,239920.99000000002,0.27622677600510753,0.0,1,12.20981420804086,26.0,35.3,High
V0486,Lee PLC,Professional Services,Russia,18854.55,0,45.0,70.0,686776.09,0.7907017438453117,1.0,1,22.325613950762495,0.0,35.3,High
V0202,Thompson PLC,Professional Services,United States,59174.82,0,45.0,10.0,391245.71,0.45045054665341816,2.0,1,25.603604373227345,55.0,35.2,High
V0423,"Todd, Thompson and Chase",Marketing,China,56342.33,0,73.0,40.0,40434.41,0.046553103644531815,1.0,0,6.372424829156254,0.0,35.1,High
V0146,Rodgers LLC,Manufacturing,United Kingdom,39610.77,0,85.0,10.0,89596.16,0.10315420263661707,2.0,0,12.825233621092936,0.0,35.0,High
