vendor_id,vendor_name,category,country,onboarded_date,kyc_complete,certifications,cert_expiry_date,annual_contract_value,geo_risk_weight,is_critical_supplier
V0001,"Hill, Walker and Doyle",Raw Materials,Singapore,2022-06-09,0,SOC 2 Type II,2026-06-29,118253.5,0.15,0
V0002,"Henderson, Johnson and Robinson",Manufacturing,India,2026-02-17,0,PCI-DSS,2026-06-29,75702.41,0.2,0
V0003,Hoffman Ltd,Marketing,China,2025-10-16,1,SOC 2 Type II;GDPR Compliant;PCI-DSS,2026-06-29,19315.82,0.4,0
V0004,Cole LLC,Software Licensing,United States,2026-02-16,1,ISO 9001,2026-06-29,120498.15,0.1,0
V0005,"Henderson, Ramirez and Lewis",Marketing,Brazil,2021-07-19,1,PCI-DSS,2026-06-29,10487.53,0.3,0
V0006,Davis Inc,Logistics,Nigeria,2024-05-09,1,None,,15460.37,0.6,0
V0007,"Baker, Williams and Stevens",Marketing,France,2024-07-18,1,GDPR Compliant,2026-06-29,58478.36,0.1,0
V0008,Arnold Ltd,Software Licensing,United Kingdom,2022-07-21,1,ISO 27001;SOC 2 Type II,2026-06-29,40167.77,0.1,0
V0009,Bush Inc,IT Services,United Kingdom,2024-07-26,1,PCI-DSS;SOC 2 Type II,2026-06-29,498807.54,0.1,0
V0010,Wyatt Inc,Marketing,India,2023-06-07,1,SOC 2 Type II,2026-06-29,305211.88,0.2,0
V0011,Reid-Diaz,Raw Materials,Brazil,2024-09-22,1,SOC 2 Type II;ISO 9001,2026-06-29,51205.5,0.3,0
V0012,Santiago Ltd,IT Services,France,2024-08-22,1,SOC 2 Type II,2026-06-29,37174.19,0.1,0
V0013,"Jackson, Daniel and Martin",Software Licensing,France,2022-02-05,1,GDPR Compliant,2026-06-29,51507.24,0.1,0
V0014,"Watts, Robinson and Nguyen",Facilities,Brazil,2024-09-19,1,ISO 27001;PCI-DSS;ISO 9001,2026-06-29,90026.13,0.3,0
V0015,Trujillo Group,Manufacturing,China,2021-12-19,1,ISO 9001;SOC 2 Type II;PCI-DSS,2026-06-29,10456.78,0.4,0
V0016,Gentry PLC,Logistics,United States,2023-10-08,1,PCI-DSS;ISO 27001,2026-06-29,55909.89,0.1,0
V0017,"Porter, Wilkerson and Day",Professional Services,South Africa,2024-03-02,1,ISO 9001;SOC 2 Type II,2026-06-29,35116.73,0.35,0
V0018,Wright PLC,Facilities,United States,2022-09-15,1,ISO 9001;GDPR Compliant,2026-06-29,227665.33,0.1,0
V0019,"Richards, Hurst and Ross",Manufacturing,UAE,2026-01-28,1,GDPR Compliant;ISO 27001;PCI-DSS,2026-06-29,14363.19,0.3,0
V0020,"Snyder, Campos and Callahan",Facilities,Singapore,2023-05-11,0,ISO 27001;SOC 2 Type II,2026-06-29,16674.07,0.15,0
V0021,"Moore, Becker and Carlson",Software Licensing,UAE,2022-10-16,1,None,,349506.79,0.3,0
V0022,Carlson-Mcdonald,Raw Materials,Russia,2024-10-06,1,None,,62887.91,0.7,0
V0023,Frazier Inc,Logistics,Russia,2023-08-19,1,ISO 27001;PCI-DSS,2026-06-29,26141.98,0.7,0
V0024,"Peterson, Carter and Moore",Logistics,Germany,2026-01-22,1,GDPR Compliant,2026-06-29,9763.64,0.1,0
V0025,"Gill, Romero and Rodriguez",Software Licensing,China,2021-07-09,1,ISO 27001;PCI-DSS,2026-06-29,92299.1,0.4,0
V0026,"Lynch, Hernandez and Farmer",Raw Materials,Russia,2024-01-12,1,SOC 2 Type II;GDPR Compliant;ISO 27001,2026-06-29,116129.22,0.7,0
V0027,George Group,IT Services,UAE,2026-01-29,1,GDPR Compliant;SOC 2 Type II,2026-06-29,15002.28,0.3,0
V0028,Koch-Decker,Professional Services,Singapore,2021-08-28,1,ISO 27001;PCI-DSS,2026-06-29,52977.16,0.15,0
V0029,Allen PLC,Manufacturing,India,2024-02-09,1,ISO 27001;PCI-DSS;ISO 9001,2026-06-29,140560.03,0.2,0
V0030,Dennis Inc,Marketing,Singapore,2022-02-28,0,None,,81409.89,0.15,0
V0031,Keller PLC,Facilities,South Africa,2026-01-09,1,SOC 2 Type II;ISO 9001,2026-06-29,17891.49,0.35,0
V0032,"Brennan, Henderson and Lewis",Facilities,China,2022-11-24,1,ISO 27001;GDPR Compliant;ISO 9001,2026-06-29,10834.35,0.4,0
V0033,"Vaughn, Marquez and Ross",Software Licensing,United States,2026-01-29,1,None,,16356.83,0.1,0
V0034,"Hayes, Wright and Brown",Logistics,France,2024-09-01,1,PCI-DSS;ISO 27001,2026-06-29,84163.88,0.1,0
V0035,"Spencer, Chapman and Smith",Facilities,South Africa,2021-09-02,1,None,,5107.32,0.35,0
V0036,Whitehead LLC,IT Services,Germany,2021-12-28,1,ISO 9001,2026-06-29,36905.22,0.1,0
V0037,Ramirez Group,Facilities,United States,2022-02-04,1,ISO 27001,2026-06-29,23692.91,0.1,0
V0038,Cummings PLC,IT Services,United States,2023-04-25,1,PCI-DSS;ISO 27001,2026-06-29,59911.9,0.1,0
V0039,Sanchez-Kennedy,IT Services,France,2026-05-24,1,None,,10925.76,0.1,0
V0040,Davis Group,Raw Materials,France,2024-12-14,1,ISO 27001,2026-06-29,17301.55,0.1,0
V0041,Owens-Daniel,Raw Materials,Pakistan,2024-07-03,1,SOC 2 Type II;PCI-DSS;ISO 27001,2026-06-29,80018.57,0.55,0
V0042,Chandler-Mcbride,IT Services,France,2022-04-30,1,ISO 9001;SOC 2 Type II,2026-06-29,74501.4,0.1,0
V0043,Lee Group,Manufacturing,France,2022-06-03,1,GDPR Compliant;ISO 9001,2026-06-29,4346.4,0.1,0
V0044,Ramirez and Sons,Raw Materials,Germany,2022-09-07,1,ISO 9001,2026-06-29,9191.48,0.1,0
V0045,"Garcia, Pearson and Fernandez",Raw Materials,UAE,2022-02-18,1,ISO 27001,2026-06-29,20198.27,0.3,0
V0046,Martin Group,Manufacturing,United Kingdom,2021-08-13,1,PCI-DSS,2026-06-29,26982.89,0.1,0
V0047,Barrera-Martin,Facilities,United Kingdom,2025-08-02,0,ISO 9001;PCI-DSS,2026-06-29,55064.54,0.1,0
V0048,House-Glover,Raw Materials,Brazil,2021-07-05,1,ISO 9001,2026-06-29,42199.17,0.3,0
V0049,"Bernard, Cowan and Peters",Marketing,UAE,2023-12-02,1,ISO 9001;GDPR Compliant,2026-06-29,15779.09,0.3,0
V0050,Phillips Inc,Facilities,Russia,2025-08-19,1,GDPR Compliant,2026-06-29,169828.53,0.7,0
V0051,"Edwards, Williams and Woods",Manufacturing,Brazil,2026-02-07,1,SOC 2 Type II,2026-06-29,59695.78,0.3,0
V0052,Yu Inc,Manufacturing,United States,2026-01-04,0,PCI-DSS;ISO 27001;SOC 2 Type II,2026-06-29,21690.23,0.1,0
V0053,"Jones, Hensley and Powell",Logistics,Mexico,2023-01-27,1,SOC 2 Type II,2026-06-29,414138.66,0.35,1
V0054,"Wheeler, Harvey and Barnes",Logistics,Germany,2026-05-03,1,GDPR Compliant;ISO 27001,2026-06-29,171315.42,0.1,0
V0055,Donovan-Harris,Raw Materials,China,2026-04-20,1,PCI-DSS;ISO 9001,2026-06-29,88871.75,0.4,0
V0056,Foster-Powers,Facilities,France,2024-03-01,1,GDPR Compliant;PCI-DSS;SOC 2 Type II,2026-06-29,1210358.28,0.1,1
V0057,Hickman-Walls,Marketing,Brazil,2024-01-17,1,ISO 27001,2026-06-29,67651.88,0.3,0
V0058,Howell-Hart,Manufacturing,United Kingdom,2021-07-27,1,None,,5124.07,0.1,0
V0059,"Lewis, Baker and Mahoney",IT Services,India,2022-05-05,1,GDPR Compliant;ISO 27001,2026-06-29,11759.96,0.2,0
V0060,Mitchell-Kim,Raw Materials,France,2022-01-28,1,ISO 27001,2026-06-29,148416.24,0.1,0
V0061,"Riggs, Roman and Rice",Software Licensing,France,2026-02-10,1,PCI-DSS,2026-06-29,35027.73,0.1,0
V0062,"Garcia, Humphrey and Baker",IT Services,India,2026-03-18,1,GDPR Compliant;SOC 2 Type II,2026-06-29,335623.98,0.2,0
V0063,Nelson PLC,Marketing,China,2022-05-27,1,ISO 9001,2026-06-29,25796.37,0.4,0
V0064,Watts LLC,IT Services,United Kingdom,2023-04-14,1,GDPR Compliant,2026-06-29,19895.14,0.1,0
V0065,Whitehead-Mathis,Professional Services,Mexico,2025-10-16,0,SOC 2 Type II;ISO 27001;ISO 9001,2026-06-29,1090.47,0.35,0
V0066,"Henderson, Hill and Smith",Facilities,Germany,2022-04-11,1,None,,234832.09,0.1,1
V0067,Martin-Ramos,Raw Materials,United States,2022-08-09,1,ISO 27001;SOC 2 Type II,2026-06-29,7805.3,0.1,0
V0068,"Smith, Jones and Ware",Logistics,United Kingdom,2025-02-16,1,None,,113599.51,0.1,0
V0069,Davenport PLC,Marketing,UAE,2022-10-05,1,ISO 27001;PCI-DSS,2026-06-29,20007.54,0.3,0
V0070,Jordan Inc,Raw Materials,United States,2026-03-11,1,None,,25598.41,0.1,0
V0071,Nolan and Sons,Facilities,South Africa,2024-02-11,1,SOC 2 Type II;GDPR Compliant,2026-06-29,8020.57,0.35,0
V0072,Deleon-Henson,Marketing,Singapore,2023-08-13,1,GDPR Compliant;PCI-DSS,2026-06-29,215903.18,0.15,1
V0073,"Moore, Spears and Hancock",IT Services,France,2024-12-12,0,SOC 2 Type II;GDPR Compliant;ISO 9001,2026-06-29,53972.26,0.1,0
V0074,White LLC,Facilities,Russia,2022-12-31,1,ISO 9001,2026-06-29,99400.59,0.7,0
V0075,Moore-Haynes,Manufacturing,Nigeria,2024-12-29,1,SOC 2 Type II,2026-06-29,94815.81,0.6,0
V0076,Walker-Velasquez,Manufacturing,UAE,2024-09-29,1,ISO 27001,2026-06-29,11317.06,0.3,0
V0077,Hoover-Savage,Software Licensing,United Kingdom,2025-05-29,1,PCI-DSS,2026-06-29,43190.19,0.1,0
V0078,Keller Group,Professional Services,Germany,2023-05-22,1,None,,16669.06,0.1,0
V0079,Rasmussen LLC,Facilities,Germany,2024-04-13,1,PCI-DSS,2026-06-29,339769.21,0.1,1
V0080,"Ross, Zavala and Herrera",Professional Services,France,2024-06-23,1,ISO 9001,2026-06-29,53813.65,0.1,0
V0081,Wiley LLC,IT Services,Singapore,2021-09-22,1,None,,33792.59,0.15,0
V0082,"Estes, Baker and Rodriguez",IT Services,Germany,2023-01-04,1,None,,5392.44,0.1,0
V0083,"Hartman, Graham and Joyce",Manufacturing,United States,2025-03-10,1,ISO 27001;SOC 2 Type II;PCI-DSS,2026-06-29,45335.07,0.1,0
V0084,"Lee, Williams and Graham",Logistics,Vietnam,2022-06-23,1,ISO 9001;GDPR Compliant;SOC 2 Type II,2026-06-29,42738.95,0.4,0
V0085,"Ball, Harmon and Lambert",Logistics,South Africa,2025-11-30,1,ISO 27001,2026-06-29,14389.71,0.35,0
V0086,Rush LLC,Facilities,United States,2024-08-03,1,GDPR Compliant;ISO 9001,2026-06-29,8399.1,0.1,0
V0087,"Mccullough, Hunter and Estrada",Professional Services,UAE,2024-02-29,1,ISO 9001;SOC 2 Type II,2026-06-29,25170.32,0.3,0
V0088,Terry-Spencer,Facilities,France,2024-04-07,1,None,,12381.21,0.1,0
V0089,"Bentley, Byrd and Orr",Software Licensing,China,2023-02-15,1,GDPR Compliant,2026-06-29,262070.07,0.4,0
V0090,Kelley-Smith,IT Services,Singapore,2026-05-02,1,PCI-DSS;ISO 9001,2026-06-29,589390.7,0.15,1
V0091,Jordan PLC,Software Licensing,UAE,2023-12-07,1,None,,106870.5,0.3,0
V0092,Ramos-Lewis,Marketing,France,2024-03-26,1,GDPR Compliant;ISO 27001,2026-06-29,32433.8,0.1,0
V0093,"Miller, Robertson and Schultz",Software Licensing,UAE,2025-07-08,1,GDPR Compliant,2026-06-29,171846.56,0.3,0
V0094,Cardenas and Sons,IT Services,United States,2024-05-05,1,None,,167892.94,0.1,0
V0095,Hernandez Inc,Facilities,Germany,2024-02-18,1,GDPR Compliant;ISO 27001,2026-06-29,8378.19,0.1,0
V0096,Carr-Mack,IT Services,China,2023-07-29,1,None,,18199.93,0.4,0
V0097,"Johnston, Higgins and Cruz",Facilities,Nigeria,2025-05-13,0,ISO 27001;GDPR Compliant;PCI-DSS,2026-06-29,53603.64,0.6,0
V0098,Douglas Inc,Manufacturing,Brazil,2024-11-21,1,GDPR Compliant;SOC 2 Type II,2026-06-29,32445.88,0.3,0
V0099,Thompson Ltd,Facilities,South Africa,2022-05-26,1,ISO 27001;ISO 9001;SOC 2 Type II,2026-06-29,6753.19,0.35,0
V0100,Grant Inc,Professional Services,France,2025-11-24,1,PCI-DSS,2026-06-29,61338.06,0.1,0
V0101,Contreras-Travis,Manufacturing,China,2025-05-17,1,PCI-DSS,2026-06-29,615.09,0.4,0
V0102,"Briggs, Mcclain and Simmons",Raw Materials,Pakistan,2024-03-10,1,GDPR Compliant,2026-06-29,411236.84,0.55,1
V0103,Manning Group,Software Licensing,Vietnam,2026-02-25,1,ISO 27001,2026-06-29,23945.05,0.4,0
V0104,Walton-Larsen,Raw Materials,United States,2025-04-27,1,None,,85327.27,0.1,0
V0105,Sims-Hill,Software Licensing,Singapore,2023-11-07,1,PCI-DSS;GDPR Compliant;SOC 2 Type II,2026-06-29,447880.6,0.15,1
V0106,Nelson LLC,Logistics,India,2022-02-24,0,ISO 9001;SOC 2 Type II,2026-06-29,96016.39,0.2,0
V0107,Taylor and Sons,IT Services,Vietnam,2026-02-01,1,None,,12554.76,0.4,0
V0108,"Lewis, Perry and Rivera",Raw Materials,India,2024-10-01,1,ISO 9001,2026-06-29,29598.35,0.2,0
V0109,Clark Group,Manufacturing,Nigeria,2025-06-15,1,ISO 27001,2026-06-29,53931.66,0.6,0
V0110,"Smith, Gilmore and Johnston",Software Licensing,Brazil,2024-10-21,1,ISO 9001,2026-06-29,27704.85,0.3,0
V0111,Evans-Price,Facilities,France,2025-07-19,1,GDPR Compliant,2026-06-29,79333.13,0.1,0
V0112,"Navarro, Marsh and Hurst",Facilities,Germany,2025-01-20,1,SOC 2 Type II,2026-06-29,24034.98,0.1,0
V0113,Graham-Johnson,IT Services,Pakistan,2025-08-23,1,GDPR Compliant;ISO 9001;ISO 27001,2026-06-29,57986.31,0.55,0
V0114,"Martin, Mcdonald and Anderson",Manufacturing,France,2024-05-08,1,ISO 9001;SOC 2 Type II,2026-06-29,52504.93,0.1,0
V0115,Vargas-Alvarado,Facilities,Singapore,2026-01-13,1,SOC 2 Type II;ISO 27001,2026-06-29,462256.47,0.15,1
V0116,"Patterson, Camacho and White",Raw Materials,India,2022-03-16,1,None,,141048.29,0.2,0
V0117,Lewis-Murphy,Software Licensing,United States,2023-09-15,1,ISO 9001;PCI-DSS,2026-06-29,97919.94,0.1,0
V0118,King-Miller,Raw Materials,Pakistan,2024-09-18,1,ISO 27001;GDPR Compliant;PCI-DSS,2026-06-29,668212.3,0.55,1
V0119,Cooke LLC,Facilities,France,2021-08-28,1,ISO 27001;ISO 9001,2026-06-29,42175.65,0.1,0
V0120,Harrington Ltd,Manufacturing,Singapore,2023-05-26,1,ISO 27001;SOC 2 Type II;GDPR Compliant,2026-06-29,182780.38,0.15,0
V0121,Gonzalez Inc,IT Services,Singapore,2021-11-01,1,ISO 9001,2026-06-29,52933.65,0.15,0
V0122,Wells Inc,Raw Materials,South Africa,2022-10-15,1,ISO 27001,2026-06-29,10107.88,0.35,0
V0123,Lyons-Wang,Raw Materials,China,2026-04-16,1,PCI-DSS;GDPR Compliant,2026-06-29,74046.82,0.4,0
V0124,"Stuart, Higgins and Strickland",Software Licensing,Singapore,2022-12-02,1,ISO 9001;ISO 27001,2026-06-29,62452.1,0.15,0
V0125,Rodriguez-Johnson,Marketing,South Africa,2022-11-19,1,None,,90133.41,0.35,0
V0126,"Odonnell, Brooks and David",IT Services,India,2024-02-23,1,GDPR Compliant;ISO 27001;ISO 9001,2026-06-29,6118.15,0.2,0
